tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.005,-1.47,-0.039788735772973836,19544.100476116797
0.005,-1.46,-0.039788735772973836,19544.100476116797
0.005,-1.45,-0.03978873577297384,19544.100476116793
0.005,-1.44,-0.039788735772973836,19544.100476116797
0.005,-1.43,-0.03978873577297384,19544.100476116793
0.005,-1.42,-0.039788735772973836,19544.100476116797
0.005,-1.4100000000000001,-0.039788735772973836,19544.100476116797
0.005,-1.4,-0.03978873577297384,19544.100476116793
0.005,-1.3900000000000001,-0.03978873577297384,19544.100476116793
0.005,-1.38,-0.03978873577297385,19544.100476116793
0.005,-1.37,-0.03978873577297384,19544.100476116793
0.005,-1.3599999999999999,-0.03978873577297383,19544.100476116797
0.005,-1.35,-0.03978873577297384,19544.100476116793
0.005,-1.3399999999999999,-0.039788735772973836,19544.100476116797
0.005,-1.33,-0.03978873577297384,19544.100476116793
0.005,-1.3199999999999998,-0.03978873577297384,19544.100476116793
0.005,-1.31,-0.03978873577297385,19544.100476116793
0.005,-1.2999999999999998,-0.03978873577297383,19544.100476116797
0.005,-1.29,-0.03978873577297383,19544.100476116797
0.005,-1.28,-0.03978873577297384,19544.100476116793
0.005,-1.27,-0.03978873577297384,19544.100476116793
