tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.01,3.18557495074005,-0.09014288733119359,3246.1608312331405
0.01,3.2044245066615886,-0.005270186394293546,13425.262243061012
0.01,3.223274062583128,0.08997561530527458,inf
0.01,3.2421236185046665,0.1842445484997345,inf
0.01,3.260973174426205,0.26858912941317753,inf
0.01,3.2798227303477443,0.33729441935238597,inf
0.01,3.2986722862692828,0.3877841120209209,inf
0.01,3.3175218421908212,0.41997456627019053,inf
0.01,3.3363713981123606,0.4354464037699747,inf
0.01,3.355220954033899,0.43668247805509597,inf
0.01,3.3740705099554376,0.42648652675769144,inf
0.01,3.392920065876977,0.40760078373953923,inf
0.01,3.4117696217985154,0.3824912689282755,inf
0.01,3.430619177720054,0.3532539671752646,inf
0.01,3.4494687336415923,0.32159808505891657,inf
0.01,3.4683182895631317,0.2888726022514905,inf
0.01,3.48716784548467,0.25611307941961586,inf
0.01,3.5060174014062087,0.22409450698720282,inf
0.01,3.524866957327748,0.1933822890679139,inf
0.01,3.5437165132492865,0.16437756036041182,inf
0.01,3.562566069170825,0.1373554938874055,inf
0.01,3.5814156250923643,0.11249660928660636,inf
0.01,3.600265181013903,0.08991174948183946,inf
0.01,3.6191147369354413,0.06966164678914782,inf
0.01,3.6379642928569806,0.051772037657753435,inf
0.01,3.656813848778519,0.036245235805425546,inf
0.01,3.6756634047000576,0.023069054933585728,inf
0.01,3.694512960621597,0.012224242170676958,inf
0.01,3.7133625165431354,0.003693285178781961,inf
0.01,3.732212072464674,-0.002515691027110564,19431.53526652251
0.01,3.7510616283862133,-0.006206731956709438,12370.984715094606
0.01,3.7699111843077517,-0.004072944743839133,15271.493315296146
0.02,-3.7699111843077517,0.006769120544730705,inf
0.02,-3.751061628386213,0.003400686477483106,inf
0.02,-3.7322120724646743,0.006401547997680651,inf
0.02,-3.7133625165431354,0.012449871873492028,inf
0.02,-3.6945129606215965,0.0208913130032152,inf
0.02,-3.675663404700058,0.03158895688593909,inf
0.02,-3.656813848778519,0.044511405545329195,inf
0.02,-3.6379642928569806,0.05965047748433743,inf
0.02,-3.6191147369354417,0.07699638873118299,inf
0.02,-3.600265181013903,0.09652504235483467,inf
0.02,-3.5814156250923643,0.11818720244177061,inf
0.02,-3.5625660691708254,0.1418963819376329,inf
0.02,-3.5437165132492865,0.1675140014487769,inf
0.02,-3.524866957327748,0.194830860993257,inf
0.02,-3.506017401406209,0.22354415849661896,inf
0.02,-3.48716784548467,0.25322949700719144,inf
0.02,-3.4683182895631317,0.2833077285814374,inf
0.02,-3.449468733641593,0.31300727631604114,inf
0.02,-3.430619177720054,0.34132400350082287,inf
0.02,-3.4117696217985154,0.3669830760726863,inf
0.02,-3.3929200658769765,0.3884109443955886,inf
0.02,-3.374070509955438,0.4037308230708054,inf
0.02,-3.355220954033899,0.41080177812824126,inf
0.02,-3.33637139811236,0.40732874297104,inf
0.02,-3.3175218421908217,0.3910757451310203,inf
0.02,-3.2986722862692828,0.3602119146011576,inf
0.02,-3.279822730347744,0.31380101066768906,inf
0.02,-3.2609731744262054,0.2524006537509145,inf
0.02,-3.2421236185046665,0.17866285601195686,inf
0.02,-3.223274062583128,0.09773569650720045,inf
0.02,-3.204424506661589,0.01719979024780156,inf
0.02,-3.18557495074005,-0.053696874102263155,1051.4806184808076
0.02,-3.1667253948185117,-0.10555426375600177,749.9596258571833
0.02,-3.1478758388969728,-0.13080566352941744,673.6937217147972
0.02,-3.129026282975434,-0.12557072608181796,687.5931974608882
0.02,-3.1101767270538954,-0.0906823244997891,809.1228241551827
0.02,-3.0913271711323564,-0.03146295799767194,1373.6497103873294
0.02,-3.0724776152108175,0.04365530839256602,inf
0.02,-3.053628059289279,0.12511143726271964,inf
