series,observer_family,tau,min_sampled_avg,center_at_min,qi_proxy_bound,qi_proxy_margin,status
infrastructure_component_Tkk_min,shoulder_mean,40.0,-0.00829299923517042,209.82,-3.710492565027018e-09,-0.008292995524677856,below_proxy_bound
infrastructure_component_Tkk_min,shoulder_mean,80.0,,,-2.3190578531418863e-10,,
infrastructure_component_Tkk_min,matching_mean,0.5,-0.04060140914177305,215.28,-0.15198177546350666,0.11138036632173362,above_proxy_bound
infrastructure_component_Tkk_min,matching_mean,1.0,-0.031679837176173224,154.44,-0.009498860966469166,-0.022180976209704058,below_proxy_bound
infrastructure_component_Tkk_min,matching_mean,2.0,-0.021018757390598906,154.44,-0.0005936788104043229,-0.020425078580194583,below_proxy_bound
infrastructure_component_Tkk_min,matching_mean,5.0,-0.010613830766663803,216.06,-1.5198177546350666e-05,-0.010598632589117453,below_proxy_bound
infrastructure_component_Tkk_min,matching_mean,10.0,-0.005919931824085488,216.06,-9.498860966469166e-07,-0.005918981937988841,below_proxy_bound
infrastructure_component_Tkk_min,matching_mean,20.0,-0.0034418674556072983,216.06,-5.936788104043229e-08,-0.003441808087726258,below_proxy_bound
infrastructure_component_Tkk_min,matching_mean,40.0,-0.0023232008482748975,211.38,-3.710492565027018e-09,-0.0023231971377823324,below_proxy_bound
infrastructure_component_Tkk_min,matching_mean,80.0,,,-2.3190578531418863e-10,,
open_repayment_Tkk_min,core_line,0.5,2.8327775591272595e-07,3.9000000000000004,-0.15198177546350666,0.15198205874126258,above_proxy_bound
open_repayment_Tkk_min,core_line,1.0,5.867260693329977e-07,6.24,-0.009498860966469166,0.0094994476925385,above_proxy_bound
open_repayment_Tkk_min,core_line,2.0,1.2283023658372628e-06,8.58,-0.0005936788104043229,0.0005949071127701602,above_proxy_bound
open_repayment_Tkk_min,core_line,5.0,3.446395683176885e-06,20.28,-1.5198177546350666e-05,1.8644573229527552e-05,above_proxy_bound
open_repayment_Tkk_min,core_line,10.0,8.474931875519042e-06,40.56,-9.498860966469166e-07,9.424817972165958e-06,above_proxy_bound
open_repayment_Tkk_min,core_line,20.0,2.713372249961025e-05,80.34,-5.936788104043229e-08,2.7193090380650682e-05,above_proxy_bound
open_repayment_Tkk_min,core_line,40.0,0.00020135030447934906,160.68,-3.710492565027018e-09,0.00020135401497191409,above_proxy_bound
open_repayment_Tkk_min,core_line,80.0,,,-2.3190578531418863e-10,,
open_repayment_Tkk_min,access_mean,0.5,2.305557208201979e-07,3.9000000000000004,-0.15198177546350666,0.15198200601922748,above_proxy_bound
open_repayment_Tkk_min,access_mean,1.0,4.775254029519902e-07,6.24,-0.009498860966469166,0.009499338491872119,above_proxy_bound
open_repayment_Tkk_min,access_mean,2.0,9.996868652414809e-07,8.58,-0.0005936788104043229,0.0005946784972695644,above_proxy_bound
open_repayment_Tkk_min,access_mean,5.0,2.8048566933107437e-06,20.28,-1.5198177546350666e-05,1.800303423966141e-05,above_proxy_bound
open_repayment_Tkk_min,access_mean,10.0,6.896891958271773e-06,40.56,-9.498860966469166e-07,7.84677805491869e-06,above_proxy_bound
open_repayment_Tkk_min,access_mean,20.0,2.2077009746490374e-05,80.34,-5.936788104043229e-08,2.2136377627530807e-05,above_proxy_bound
